,Product_code,Product_name,Rating,number of reveiws,Price,Images,Link,Reveiw Link
124,B08G24RGKS,"HP 14 Ultra Thin & Light 14"" (35.56cms) Laptop (10th Gen i3-1005G1/8GB/256GB SSD/Win 10 Home/MS Office/1.47 Kg/Jet Black), 14s-cf3074TU  ",4.2 out of 5 stars,1518,"₹39,192",https://m.media-amazon.com/images/I/81MEmcBaxVL._AC_UY218_.jpg,"quality,screen,price,office,battery","61,50,40,38,32"
125,B09F3R7ZJ6,"Dell 15 (2021) i5-1135G7 Laptop, 8GB, 1TB HDD + 256GB SSD, Win 10 + MS Office, NVIDIA MX350 2GB Graphics, 15.6"" (39.61 cms) FHD Display, Carbon Color (Inspiron 3511, D560585WIN9BE)  ",3.6 out of 5 stars,44,"₹67,093",https://m.media-amazon.com/images/I/61XR0oGhF6L._AC_UY218_.jpg,"battery,heating,time,wifi,issue","8,7,7,6,5"
126,B08HJZHTM1,"HP 15 Intel Pentium Gold 6405U Processor Entry Level 39.62 cms(15.6-inch) FHD Laptop (4GB/1TB/Win 10/Jet Black/1.74kg), 15s-du1052tu  ",3.4 out of 5 stars,883,"₹24,999",https://m.media-amazon.com/images/I/71FB8qoB78L._AC_UY218_.jpg,"time,money,battery,screen,performance","23,21,19,17,15"
127,B0999C3WM9,"Lenovo IdeaPad Slim 3 10th Gen Intel Core i3 14"" (35.56cm) FHD Thin & Light Laptop (8GB/256GB SSD/Windows 10/MS Office/Intel UHD Graphics/2 Year Warranty/Platinum Grey/1.5Kg), 81WA00K4IN  ",4.2 out of 5 stars,55,"₹40,949",https://m.media-amazon.com/images/I/61Dw5Z8LzJL._AC_UY218_.jpg,"office,quality,camera,price,review","6,6,3,2,2"
128,B08DDZLCQF,"AVITA Essential NE14A2INC433-MB 14"" (35.56cms) Laptop (Celeron N4000/4GB/128GB SSD/Window 10 Home in S Mode/Integrated Graphics), Matt Black  ",3.9 out of 5 stars,1172,"₹40,949",https://m.media-amazon.com/images/I/61YdFkoR9dL._AC_UY218_.jpg,"quality,battery,price,money,screen","74,73,65,45,45"
129,B096SHMYJJ,"Lenovo IdeaPad Slim 5 11th Gen Intel Core i5 15.6 inches FHD, LED IPS Thin and Light Business Laptop (8GB/1TB+256GB SSD/Windows 10/Fingerprint Reader/Graphite Grey/1.66Kg) 82FG010BIN  ",4.1 out of 5 stars,243,"₹66,990",https://m.media-amazon.com/images/I/61WNxdAeAoL._AC_UY218_.jpg,"battery,display,hours,quality,screen","25,18,14,14,13"
130,B09GPB1ZS8,"ASUS VivoBook 14 Intel Core i3-10110U 10th Gen 14-inch FHD IPS Compact and Light Laptop (8GB RAM/1TB HDD/Windows 10/1 Yr. McAfee/Integrated UHD Graphics/Slate Grey/1.60 kg), X409FA-EB616T  ",5.0 out of 5 stars,1,"₹37,200",https://m.media-amazon.com/images/I/71+cBm-j0TL._AC_UY218_.jpg,https://www.amazon.in/ASUS-VivoBook-i3-10110U-Integrated-X409FA-EB616T/dp/B09GPB1ZS8/ref=sr_1_212?keywords=laptop&qid=1636205456&sr=8-212,
131,B098FK9KQ2,Lenovo IdeaPad Slim 5 AMD Ryzen 5 5500U 15.6 inches FHD IPS Thin & Light Business Laptop (8GB/512GB SSD/Windows 10/MS Office/Backlit Keyboard/Fingerprint Reader/Graphite Grey/1.66Kg)  ,4.3 out of 5 stars,91,"₹56,800",https://m.media-amazon.com/images/I/71jP9Frsr6L._AC_UY218_.jpg,"quality,battery,screen,performance,display","15,14,7,7,6"
132,B0916C2XM3,ASUS VivoBook15 Intel Core i3-1115G4 15.6 inches Laptop (8GB RAM/256 GB NVMe SSD/Windows 10 Home+McAfee/Ms Office H&S 2019/FHD IPS/FP Reader/1.75 kg/Silver) X515EA-EJ312TS  ,4.2 out of 5 stars,45,"₹39,990",https://m.media-amazon.com/images/I/71hgzeX--TL._AC_UY218_.jpg,"battery,quality,camera,gaming,hdd","8,7,7,5,5"
133,B099ZZX3QW,"Acer Aspire 5 11th Gen Core i5 15.6-inch (39.6 cms) Full HD Thin & Light Laptop- (8 GB/1TB HDD/Windows 10 Home/Intel Iris Xe Graphics/Pure Silver/1.65 KG), A515-56, Large  ",5.0 out of 5 stars,1,"₹50,949",https://m.media-amazon.com/images/I/71WbatK7HVL._AC_UY218_.jpg,https://www.amazon.in/Acer-15-6-inch-Laptop-Graphics-A515-56/dp/B099ZZX3QW/ref=sr_1_217?keywords=laptop&qid=1636205456&sr=8-217,
